
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
08:B4:B1:2B:2E:78, 2022-08-11 19:42:20, 2022-08-12 02:42:56, 11, 130, WPA2, CCMP, PSK, -32,       11,        1,   0.  0.  0.  0,  12, vivointernet, 
68:02:B8:66:6D:5D, 2022-08-12 02:14:10, 2022-08-12 02:42:48,  9, 540, WPA2, CCMP, PSK, -32,       51,        0,   0.  0.  0.  0,  15, LUIZA PARIZI 2G, 
10:47:38:09:7C:29, 2022-08-12 02:42:34, 2022-08-12 02:42:34, 11, 130, WPA2, CCMP, PSK, -32,        1,        0,   0.  0.  0.  0,   9, ALHN-7C20, 
A0:B5:3C:1C:16:40, 2022-08-12 02:04:11, 2022-08-12 02:41:58,  6, 195, WPA2, CCMP, PSK, -88,        3,        1,   0.  0.  0.  0,   8, canto 2G, 
B0:4E:26:ED:24:A2, 2022-08-11 18:47:59, 2022-08-12 02:41:23,  8, 405, WPA2, CCMP, PSK, -70,       11,        9,   0.  0.  0.  0,   5, MC_04, 
F4:54:20:62:90:EF, 2022-08-12 01:30:20, 2022-08-12 02:41:22,  6, 130, WPA2, CCMP, PSK, -83,       57,        0,   0.  0.  0.  0,   7, Apt 901, 
D8:0D:17:DA:63:C6, 2022-08-11 18:44:19, 2022-08-12 02:41:08,  3, 270, WPA2, CCMP, PSK, -79,     9560,      169,   0.  0.  0.  0,  23, Anna_TecLink81996482723, 
94:EA:EA:4A:2F:A5, 2022-08-11 20:08:13, 2022-08-12 02:41:10, 11, 130, WPA2, CCMP, PSK, -87,        8,        1,   0.  0.  0.  0,  15, viruskarina 2.4, 
C0:3C:04:5E:BE:C4, 2022-08-11 18:44:24, 2022-08-12 02:40:45, 11, 195, WPA2 WPA, CCMP TKIP, PSK, -28,      150,        0,   0.  0.  0.  0,  16, LIVE TIM_BEC0_2G, 
74:3A:EF:AD:A5:5A, 2022-08-11 18:44:11, 2022-08-12 02:40:20,  1, 260, WPA2, CCMP, PSK, -27,     6269,      279,   0.  0.  0.  0,  12, CasaRiqueLeo, 
D8:6C:5A:03:21:7A, 2022-08-11 18:46:40, 2022-08-12 02:40:11, 11, 540, WPA2 WPA, CCMP TKIP, PSK, -30,      699,       69,   0.  0.  0.  0,  13, CARLA_CORTIZO, 
78:6A:1F:01:A3:D2, 2022-08-11 22:13:27, 2022-08-12 02:39:35, 11, 195, WPA2, CCMP, PSK, -28,      115,        0,   0.  0.  0.  0,  13, Josue_gouveia, 
6C:55:E8:C2:25:D8, 2022-08-12 02:07:25, 2022-08-12 02:39:24, 11, 195, WPA2, CCMP, PSK, -32,       20,        1,   0.  0.  0.  0,  14, CLARO_2GC225D4, 
8C:44:4F:7D:63:96, 2022-08-11 18:48:04, 2022-08-12 02:39:09, 11, 195, WPA2 WPA, CCMP TKIP, PSK, -31,       42,        1,   0.  0.  0.  0,  12, NET_2G7D6391, 
00:CB:7A:DC:1F:B4, 2022-08-11 18:44:14, 2022-08-12 02:38:34,  1, 195, WPA2 WPA, CCMP TKIP, PSK, -25,     2925,       98,   0.  0.  0.  0,  11, BOLSONARO2G, 
E8:D2:FF:96:73:8B, 2022-08-11 18:44:06, 2022-08-12 02:38:22, 11, 260, WPA2, CCMP, PSK, -30,      922,       71,   0.  0.  0.  0,  14, CLARO_2G967386, 
D4:F7:56:82:F6:22, 2022-08-11 18:55:52, 2022-08-12 02:38:11,  6, 260, WPA2, CCMP, PSK, -86,       93,        8,   0.  0.  0.  0,  16, LIVE TIM_2348_2G, 
80:8F:E8:A9:8E:8F, 2022-08-11 18:47:18, 2022-08-12 02:37:57,  7, 270, WPA2, CCMP TKIP, PSK, -87,      222,       33,   0.  0.  0.  0,   9, LEO_TWIBI, 
34:5D:9E:B4:06:2F, 2022-08-12 02:16:01, 2022-08-12 02:37:31,  1, 260, WPA2, CCMP, PSK, -31,       15,        3,   0.  0.  0.  0,  16, WANDERLEY-802-2G, 
82:2A:A8:73:33:01, 2022-08-11 18:44:22, 2022-08-12 02:37:20,  1, 130, WPA2, CCMP, PSK, -23,     2985,        3,   0.  0.  0.  0,  21, Escritorio_Visitantes, 
CC:75:E2:D9:E3:F9, 2022-08-12 02:05:42, 2022-08-12 02:37:19,  6, 195, WPA2, CCMP, PSK, -82,        9,        0,   0.  0.  0.  0,  15, IGAR FALCONE 2G, 
C8:5D:38:DB:B5:BD, 2022-08-11 18:44:25, 2022-08-12 02:37:09,  1, 260, WPA2, CCMP, PSK, -31,      182,       20,   0.  0.  0.  0,  11, AP302_2G_2G, 
08:A7:C0:6D:DA:30, 2022-08-11 19:01:55, 2022-08-12 02:36:58,  1, 195, WPA2, CCMP, PSK, -29,      213,       16,   0.  0.  0.  0,  14, CLARO_2G6DDA2C, 
E8:20:E2:B7:28:5A, 2022-08-12 02:07:36, 2022-08-12 02:36:55,  1, 195, WPA2 WPA, CCMP TKIP, PSK, -31,        6,        0,   0.  0.  0.  0,  10, Julinho 2G, 
D8:77:8B:AE:DB:0F, 2022-08-11 18:44:20, 2022-08-12 02:36:56,  9, 270, WPA2, CCMP, PSK, -31,      672,       95,   0.  0.  0.  0,  10, NET 501 2G, 
58:10:8C:2D:D9:A6, 2022-08-12 02:35:15, 2022-08-12 02:36:21,  6, 135, WPA2 WPA, CCMP, PSK, -87,        1,        1,   0.  0.  0.  0,   6, QUARTO, 
84:01:12:03:D9:8A, 2022-08-11 18:44:32, 2022-08-12 02:36:07,  1, 260, WPA2, CCMP, PSK, -29,      181,       14,   0.  0.  0.  0,   9, Taciana2G, 
98:77:E7:03:0E:0C, 2022-08-11 18:44:18, 2022-08-12 02:36:11,  1, 260, WPA2, CCMP, PSK, -30,    10215,        0,   0.  0.  0.  0,  14, CLARO_2G030E07, 
A0:FF:70:87:5C:20, 2022-08-11 18:47:25, 2022-08-12 02:36:07,  1, 195, WPA2, CCMP, PSK, -31,      290,       36,   0.  0.  0.  0,  14, CLARO_2G875C1C, 
4C:D0:8A:F7:D6:52, 2022-08-11 23:53:01, 2022-08-12 02:36:10, 11, 130, WPA2 WPA, CCMP TKIP, PSK, -31,        4,        0,   0.  0.  0.  0,   9, TRINDADE , 
D8:77:8B:AE:DB:10, 2022-08-11 18:46:02, 2022-08-12 02:35:21,  9, 270, OPN, ,   , -30,      652,      230,  10.  0.  0.104,   9, INTELBRAS, 
98:7E:CA:15:63:4F, 2022-08-11 18:44:10, 2022-08-12 02:35:09,  1, 130, WPA2, CCMP, PSK, -26,      179,        0,   0.  0.  0.  0,  14, VIVOFIBRA-6341, 
0C:80:63:C8:6C:10, 2022-08-11 18:59:23, 2022-08-12 02:34:44,  3, 270, WPA2, CCMP, PSK, -81,     1015,        9,   0.  0.  0.  0,  17, repetirviviane903, 
C8:5D:38:C9:26:8A, 2022-08-11 19:36:46, 2022-08-12 02:34:24, 11, 540, WPA2, CCMP, PSK, -88,       64,       13,   0.  0.  0.  0,  14, CLARO_2GC9267D, 
24:FD:0D:CC:EA:0A, 2022-08-11 20:46:52, 2022-08-12 02:32:19,  4, 270, WPA2, CCMP TKIP, PSK, -82,       10,        0,   0.  0.  0.  0,   9, INTELBRAS, 
98:7E:CA:BE:71:DF, 2022-08-11 22:22:35, 2022-08-12 02:31:58,  1, 130, WPA2, CCMP, PSK, -31,      190,      127,   0.  0.  0.  0,  14, VIVOFIBRA-71D1, 
5C:7D:7D:5E:36:B8, 2022-08-11 18:56:57, 2022-08-12 02:31:58, 11, 195, WPA2 WPA, CCMP TKIP, PSK, -85,        2,        3,   0.  0.  0.  0,  16, CLARO APT 103_2G, 
D8:6C:5A:05:F5:52, 2022-08-11 18:50:50, 2022-08-12 02:31:43, 11, 540, WPA2 WPA, CCMP TKIP, PSK, -31,     1512,      114,   0.  0.  0.  0,  13, CLARO_2G_1701, 
A0:FF:70:2A:C5:00, 2022-08-12 01:59:26, 2022-08-12 02:31:07,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
D4:E2:CB:90:96:60, 2022-08-12 02:30:20, 2022-08-12 02:30:20,  1, 195, WPA2, CCMP, PSK, -28,        1,        0,   0.  0.  0.  0,  14, CLARO_2G90965C, 
8C:44:4F:3E:3F:BD, 2022-08-12 02:09:13, 2022-08-12 02:30:00,  9, 405, WPA2, CCMP, PSK, -30,        1,        0,   0.  0.  0.  0,  15, NET 09 ANDAR 2G, 
4E:D0:8A:F7:D6:53, 2022-08-12 02:28:55, 2022-08-12 02:28:55, 11, 130, OPN, ,   , -31,        0,        0,   0.  0.  0.  0,  15, #NET-CLARO-WIFI, 
56:9F:06:45:81:F9, 2022-08-11 19:16:21, 2022-08-12 02:28:08,  1, 130, WPA2, CCMP, PSK, -32,       94,        0,   0.  0.  0.  0,   0, , 
70:62:B8:C9:46:B2, 2022-08-12 02:03:51, 2022-08-12 02:27:33,  9, 130, WPA2, CCMP, PSK, -34,       10,        0,   0.  0.  0.  0,  14, NET_APT 501 2G, 
58:D5:6E:91:99:40, 2022-08-12 02:25:33, 2022-08-12 02:25:33, 10, 130, WPA2, CCMP TKIP, PSK, -32,        1,        0,   0.  0.  0.  0,  10, dlink-993F, 
18:0D:2C:EB:D5:B4, 2022-08-11 19:17:50, 2022-08-12 02:25:22,  3, 270, WPA2, CCMP, PSK, -80,       43,       12,   0.  0.  0.  0,  14, VIVOFIBRA-7458, 
56:9F:06:C9:A0:D9, 2022-08-12 01:16:46, 2022-08-12 02:24:31, 10, 130, WPA2, CCMP, PSK, -31,        8,        0,   0.  0.  0.  0,   0, , 
90:F3:05:5B:EF:79, 2022-08-12 02:06:37, 2022-08-12 02:24:21,  6, 195, WPA2 WPA, CCMP TKIP, PSK, -86,        5,        2,   0.  0.  0.  0,   6, LIVILA, 
00:E0:20:61:3D:CF, 2022-08-11 19:34:59, 2022-08-12 02:24:11,  1, 270, WPA2, CCMP, PSK, -83,       28,        0,   0.  0.  0.  0,  21, 2G_FLAT_705_CAROL_Ext, 
68:02:B8:FA:22:57, 2022-08-11 19:38:22, 2022-08-12 02:23:19,  1, 540, WPA2, CCMP, PSK, -31,      294,        0,   0.  0.  0.  0,  14, CLARO_2GF8516F, 
00:CB:7A:DD:39:08, 2022-08-11 19:59:28, 2022-08-12 02:23:19, 11, 195, WPA2, CCMP, PSK, -84,        1,        3,   0.  0.  0.  0,  14, CLARO_2GDD3904, 
D8:77:8B:1C:45:61, 2022-08-12 02:17:24, 2022-08-12 02:22:45, 10, 130, WPA2, CCMP, PSK, -30,       19,        0,   0.  0.  0.  0,   9, INTELBRAS, 
60:32:B1:5D:7C:96, 2022-08-12 02:21:24, 2022-08-12 02:21:24,  3, 270, WPA2, CCMP, PSK, -82,        1,        0,   0.  0.  0.  0,   7, Paulo-1, 
24:FD:0D:CC:0C:7A, 2022-08-12 02:03:58, 2022-08-12 02:21:11,  5, 130, WPA2, CCMP TKIP, PSK, -88,       45,        0,   0.  0.  0.  0,  17, MARTHA ESCRITORIO, 
D8:32:14:EC:F2:C9, 2022-08-11 18:44:24, 2022-08-12 02:18:34, 11, 130, WPA2, CCMP, PSK, -88,        6,        3,   0.  0.  0.  0,   7, Rezende, 
80:D0:4A:94:0C:52, 2022-08-12 02:13:42, 2022-08-12 02:16:48, 11, 195, WPA2 WPA, CCMP, PSK, -33,        5,        0,   0.  0.  0.  0,  12, NET_2G940C4D, 
50:0F:F5:D7:40:31, 2022-08-11 20:59:58, 2022-08-12 02:14:46,  4, 130, WPA2, CCMP, PSK, -86,        4,        0,   0.  0.  0.  0,  17, Multilaser_D74030, 
E8:A1:F8:A2:BC:F4, 2022-08-11 19:25:31, 2022-08-12 02:14:22, 11, 260, WPA2, CCMP, PSK, -30,       17,        2,   0.  0.  0.  0,  16, LIVE TIM_0367_2G, 
00:37:B7:44:BB:8E, 2022-08-11 19:24:46, 2022-08-12 02:13:33,  9,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
8A:F7:C7:9C:EB:17, 2022-08-11 20:36:51, 2022-08-12 02:13:00,  9, 130, OPN, ,   , -32,       25,        2,   0.  0.  0.  0,   9, #NET-WIFI, 
8C:44:4F:1A:01:1D, 2022-08-12 02:04:40, 2022-08-12 02:12:47, 11, 195, WPA2 WPA, CCMP TKIP, PSK, -31,        3,        0,   0.  0.  0.  0,  12, CASA_AFLITOS, 
8C:44:4F:9B:2C:34, 2022-08-11 18:44:25, 2022-08-12 02:12:43,  6, 405, WPA2 WPA, CCMP TKIP, PSK, -83,     1642,       71,   0.  0.  0.  0,  13, NET AP 901 2G, 
90:75:BC:DC:B7:C9, 2022-08-12 02:06:20, 2022-08-12 02:12:07,  1, 130, WPA2, CCMP, PSK, -30,        6,        0,   0.  0.  0.  0,  16, ATUAL _ OI FIBRA, 
D8:6C:5A:09:59:75, 2022-08-12 02:11:56, 2022-08-12 02:11:56,  6, 540, WPA2, CCMP, PSK, -87,        1,        0,   0.  0.  0.  0,   8, ASSIS.2G, 
28:3B:82:4B:4B:62, 2022-08-11 18:58:38, 2022-08-12 02:11:46,  8, 270, WPA2, CCMP, PSK, -72,      279,        5,   0.  0.  0.  0,   7, Juliana, 
48:4B:D4:8C:8A:40, 2022-08-11 18:44:03, 2022-08-12 02:11:44, 11, 195, WPA2, CCMP, PSK, -85,     3604,      288,   0.  0.  0.  0,  14, CLARO_2G8C8A3C, 
C8:5D:38:D8:DE:C7, 2022-08-11 19:38:07, 2022-08-12 02:11:34,  1, 540, WPA2, CCMP, PSK, -30,      114,       26,   0.  0.  0.  0,   8, FLAT-612, 
E8:20:E2:AE:A1:E9, 2022-08-11 18:44:39, 2022-08-12 02:11:34,  6, 405, WPA2 WPA, CCMP TKIP, PSK, -84,     1058,       13,   0.  0.  0.  0,  10, NET_2G 501, 
D4:B9:2F:2E:44:07, 2022-08-11 19:15:14, 2022-08-12 02:11:22, 11, 195, WPA2 WPA, CCMP, PSK, -28,      765,       29,   0.  0.  0.  0,  12, NET APT 1002, 
DC:D9:AE:48:07:B9, 2022-08-12 02:10:57, 2022-08-12 02:10:57, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
44:32:C8:9A:EF:A6, 2022-08-12 02:10:19, 2022-08-12 02:10:19, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
50:1B:32:9F:E8:1D, 2022-08-11 21:20:06, 2022-08-12 02:08:57,  1, 130, WPA2, CCMP, PSK, -84,       32,        5,   0.  0.  0.  0,   7, Arnobio, 
C8:5D:38:70:59:79, 2022-08-11 18:44:17, 2022-08-12 02:06:08,  6, 260, WPA2, CCMP, PSK, -84,     1686,       77,   0.  0.  0.  0,  13, LUCAS_MACIEL., 
F4:54:20:1F:DE:31, 2022-08-11 22:03:08, 2022-08-12 02:04:44,  6,  -1, WPA, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
24:FD:0D:39:5A:7E, 2022-08-12 02:04:12, 2022-08-12 02:04:12,  2,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
14:6B:9A:16:02:7E, 2022-08-12 02:03:33, 2022-08-12 02:03:33,  4, 260, WPA2, CCMP, PSK, -85,        1,        0,   0.  0.  0.  0,  15, ANDRE LUCENA_2G, 
D8:C6:78:44:66:E0, 2022-08-11 19:44:14, 2022-08-12 02:03:23,  6, 130, WPA2, CCMP, PSK, -83,       71,        0,   0.  0.  0.  0,  14, VIVOFIBRA-66E0, 
D6:B9:2F:2E:45:08, 2022-08-11 18:58:48, 2022-08-12 02:03:08, 11, 195, OPN, ,   , -81,      573,        2,   0.  0.  0.  0,  15, #NET-CLARO-WIFI, 
A8:25:EB:0F:CD:11, 2022-08-11 22:04:17, 2022-08-12 02:01:48,  6, 130, WPA2, CCMP, PSK, -85,        2,        2,   0.  0.  0.  0,   3, RUY, 
6C:B5:6B:1F:E4:F0, 2022-08-11 18:54:28, 2022-08-12 02:00:10, 13,  -1, WPA, ,   ,  -1,        0,        4,   0.  0.  0.  0,   0, , 
E8:A1:F8:A3:A2:08, 2022-08-12 00:55:31, 2022-08-12 01:59:48, 13, 260, WPA2, CCMP, PSK, -32,       52,        0,   0.  0.  0.  0,  16, LIVE TIM_0141_2G, 
94:6A:77:27:26:44, 2022-08-12 01:59:35, 2022-08-12 01:59:35,  9, 195, WPA2 WPA, CCMP, PSK, -30,        1,        0,   0.  0.  0.  0,   4, WAFE, 
C8:5D:38:D8:74:8C, 2022-08-11 19:31:54, 2022-08-12 01:58:44,  9, 540, WPA2, CCMP, PSK, -34,        1,       80,   0.  0.  0.  0,  16, BIG DOGS_ZN 2.4G, 
F4:54:20:AF:2A:EF, 2022-08-11 18:46:51, 2022-08-12 01:58:20,  6, 130, WPA2, CCMP, PSK, -86,        5,        0,   0.  0.  0.  0,   5, NUNES, 
3C:82:C0:6A:A0:A8, 2022-08-12 01:33:13, 2022-08-12 01:56:19,  1, 195, WPA2 WPA, CCMP TKIP, PSK, -30,        2,        0,   0.  0.  0.  0,  12, CLARO_2G_602, 
82:29:94:A0:09:4B, 2022-08-12 01:53:34, 2022-08-12 01:53:34, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
D4:E2:CB:8F:96:70, 2022-08-12 01:51:08, 2022-08-12 01:51:08,  1,  -1, WPA, ,   , -85,        0,        1,   0.  0.  0.  0,   0, , 
20:10:7A:E6:E7:A2, 2022-08-12 01:18:37, 2022-08-12 01:36:33,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
E8:20:E2:88:D3:3E, 2022-08-12 01:32:12, 2022-08-12 01:32:12,  1, 195, WPA2 WPA, CCMP TKIP, PSK, -27,        0,        0,   0.  0.  0.  0,   7, NET_BRD, 
B0:4E:26:EA:4A:4E, 2022-08-12 01:31:47, 2022-08-12 01:31:47,  5,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
98:7E:CA:80:DF:4F, 2022-08-11 18:44:17, 2022-08-12 01:28:45, 11, 130, WPA2, CCMP, PSK, -82,       33,        2,   0.  0.  0.  0,   8, Cristina, 
CA:EA:A2:CD:D2:4A, 2022-08-12 01:25:34, 2022-08-12 01:26:44,  6,  65, WPA2, CCMP, PSK, -80,       17,        0,   0.  0.  0.  0,  10, Taxirota77, 
C0:C9:E3:34:E8:D6, 2022-08-11 23:33:59, 2022-08-12 01:25:59,  4,  -1, WPA, ,   , -87,        0,        7,   0.  0.  0.  0,   0, , 
D8:77:8B:5E:A6:B5, 2022-08-11 19:23:47, 2022-08-12 01:14:23,  3, 130, WPA2, CCMP, PSK, -83,        5,        0,   0.  0.  0.  0,  12, Terezabarros, 
2A:B2:01:48:BE:B9, 2022-08-12 01:02:46, 2022-08-12 01:02:46,  6, 130, WPA2, CCMP, PSK, -77,        1,        0,   0.  0.  0.  0,   6, iPhone, 
CE:57:67:72:8A:1F, 2022-08-12 00:53:51, 2022-08-12 00:58:12, 11,  65, WPA2, CCMP, PSK, -25,      182,        7,   0.  0.  0.  0,   3, K22, 
B4:0F:3B:39:C4:F1, 2022-08-11 19:37:09, 2022-08-12 00:45:46,  1, 130, WPA2, CCMP TKIP, PSK, -30,        4,        0,   0.  0.  0.  0,   4, Swjr, 
9E:A3:98:50:7C:62, 2022-08-12 00:39:45, 2022-08-12 00:39:48,  2, 180, WPA2, CCMP, PSK, -65,        3,        0,   0.  0.  0.  0,   9, AndroidAP, 
CE:8B:A6:B4:80:A9, 2022-08-12 00:34:32, 2022-08-12 00:34:32, 11,  65, WPA2, CCMP, PSK, -23,        0,        0,   0.  0.  0.  0,  15, Galaxy A30s7B58, 
C4:A8:1D:23:C9:24, 2022-08-11 20:12:41, 2022-08-12 00:31:59, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
C8:5D:38:A9:14:C3, 2022-08-12 00:23:24, 2022-08-12 00:23:24,  1,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
30:93:BC:4B:38:7C, 2022-08-11 19:12:44, 2022-08-12 00:22:07,  1, 195, WPA2, CCMP, PSK, -28,        2,        1,   0.  0.  0.  0,  14, CLARO_2G4B3877, 
D4:AB:82:46:95:3E, 2022-08-11 19:40:46, 2022-08-12 00:20:12, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
10:BE:F5:D8:5E:F8, 2022-08-12 00:18:23, 2022-08-12 00:18:23, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
02:03:04:53:19:8C, 2022-08-12 00:15:18, 2022-08-12 00:15:44,  8,  54, OPN, ,   , -64,        4,        0,   0.  0.  0.  0,  10, WiFi-OBDII, 
FC:2D:5E:B2:37:3F, 2022-08-11 22:15:10, 2022-08-12 00:11:56,  1,  65, WPA2 WPA, CCMP TKIP, PSK, -27,        2,        0,   0.  0.  0.  0,  18, Vivo-Internet-373F, 
94:EA:EA:5E:88:BF, 2022-08-11 20:00:24, 2022-08-12 00:09:55, 11, 130, WPA2, CCMP, PSK, -29,        1,        4,   0.  0.  0.  0,  12, familialeite, 
6C:C6:3B:A0:0D:C9, 2022-08-12 00:01:19, 2022-08-12 00:01:19,  6, 130, WPA2, CCMP, PSK, -84,        1,        0,   0.  0.  0.  0,   6, Lilucy, 
D4:6E:0E:2E:1E:62, 2022-08-11 23:44:24, 2022-08-11 23:56:10,  4,  -1, WPA, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
56:A8:E5:57:F0:A1, 2022-08-11 23:36:48, 2022-08-11 23:36:55, 11,  -1, WPA, ,   , -64,        0,        1,   0.  0.  0.  0,   0, , 
18:0D:2C:0A:EF:31, 2022-08-11 23:35:44, 2022-08-11 23:35:44,  2,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
C2:A1:F8:FB:A8:E2, 2022-08-11 22:11:15, 2022-08-11 23:32:58,  6, 130, WPA2, CCMP, PSK, -76,        5,        0,   0.  0.  0.  0,  16, , 
BE:BD:B9:EB:51:94, 2022-08-11 23:31:49, 2022-08-11 23:32:00,  1, 180, WPA2, CCMP, PSK, -26,        5,        0,   0.  0.  0.  0,  11, Botelho😈, 
18:45:16:5D:21:96, 2022-08-11 20:38:27, 2022-08-11 23:26:20, 11,  65, WPA2, CCMP TKIP, PSK, -26,       35,        4,   0.  0.  0.  0,  17, BMW 07107 CarPlay, 
EC:22:80:C8:36:62, 2022-08-11 18:49:17, 2022-08-11 23:23:32, 10, 130, WPA2, CCMP, PSK, -28,       65,       22,   0.  0.  0.  0,  10, MVK_Garage, 
94:2C:B3:11:10:02, 2022-08-11 20:38:08, 2022-08-11 23:23:20,  9,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
12:C2:5A:16:B3:C0, 2022-08-11 18:48:52, 2022-08-11 23:19:57,  5,  -1, OPN, ,   ,  -1,        0,       48, 100. 72.  6. 86,   0, , 
FE:87:97:E1:13:13, 2022-08-11 19:08:39, 2022-08-11 23:08:21,  1, 180, WPA2, CCMP, PSK, -22,     1222,        0,   0.  0.  0.  0,  20, Ricardo moto g9 play, 
8C:44:4F:0C:F0:20, 2022-08-11 18:44:05, 2022-08-11 23:04:35,  9,  -1, WPA, ,   ,  -1,        0,     1307,   0.  0.  0.  0,   0, , 
E4:C0:E2:98:51:0F, 2022-08-11 23:00:46, 2022-08-11 23:00:46,  7,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
CE:22:26:67:47:0E, 2022-08-11 19:24:18, 2022-08-11 23:00:46,  6,  65, WPA2, CCMP, PSK, -81,        7,        0,   0.  0.  0.  0,  11, MyChevrolet, 
58:D9:C3:7A:35:F0, 2022-08-11 22:53:16, 2022-08-11 22:53:23,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
72:1C:39:19:E2:ED, 2022-08-11 21:59:17, 2022-08-11 22:43:33,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
D6:6A:6A:FA:1A:13, 2022-08-11 19:12:33, 2022-08-11 22:37:31,  1,  65, WPA2, CCMP, PSK, -81,      299,        0,   0.  0.  0.  0,  16, DIRECT-uz-BRAVIA, 
